Event,SwimmerName,Time,Cut
400 IM,Cale Martter,222.29,NCAA B
400 IM,Jackson millard,222.31,USNTL
400 IM,Lucas Piunti,222.33,USNTL
400 IM,Louis Dramm,222.42,USNTL
400 IM,Levi Sandidge,222.52,USNTL
400 IM,Marton Nagy,222.64,NCAA B
400 IM,Diego Nosack,222.70,USNTL
400 IM,Kyle Brill,222.81,NCAA B
400 IM,Cotton Fields,222.85,NCAA B
400 IM,Ryan Healy,222.85,USNTL
400 IM,Spencer Aurnou-Rhees,223.21,USNTL
400 IM,Peter Whittington,223.25,USNTL
400 IM,Matthew Styczen,223.30,USNTL
400 IM,Zalán Sarkany,223.36,USNTL
400 IM,William Bansberg,223.63,USNTL
400 IM,Josh Parent,223.69,USNTL
1650 Free,David Johnston,866.00,NCAA A
1650 Free,Lucas Henveaux,869.74,NCAA A
1650 Free,Rex Maurer,870.47,NCAA A
1650 Free,Levi Sandidge,870.61,NCAA A
1650 Free,Owen Lloyd,871.64,NCAA A
1650 Free,Noah Millard,873.47,NCAA A
1650 Free,Liam Custer,876.44,NCAA A
1650 Free,Zalán Sarkany,877.49,USNTL
1650 Free,Lance Norris,878.69,USNTL
1650 Free,Daniel Matheson,883.46,NCAA B
1650 Free,Carson Hick,883.70,USNTL
1650 Free,Mert Kilavuz,884.90,NCAA B
1650 Free,Mason Mathias,885.11,NCAA B
1650 Free,Jackson Huckabay,885.18,USNTL
1650 Free,Gio Linscheer,885.25,USNTL
1650 Free,Leonardo Alcantara,885.45,NCAA B
1650 Free,Mason Edmund,885.81,USNTL
1650 Free,Krzysztof Chmielewski,886.87,NCAA B
1650 Free,Connor Fry,886.89,NCAA B
1650 Free,Nikola Simic,887.23,USNTL
1650 Free,Jake Mitchell,887.44,USNTL
1650 Free,Charlie Clark,887.44,USNTL
1650 Free,Tomas Koski,887.73,NCAA B
1650 Free,Joey Tepper,888.01,USNTL
1650 Free,Jon Jøntvedt,888.20,USNTL
1650 Free,Josh Parent,888.46,USNTL
1650 Free,Mark Kovacsics,888.48,NCAA B
1650 Free,Bar Soloveychik,888.67,USNTL
1650 Free,Freddy Klein,888.74,NCAA B
1650 Free,Will Gallant,888.80,USNTL
1650 Free,Matthew Chai,889.02,NCAA B
1650 Free,Sam Campbell,889.25,USNTL
1650 Free,Chris Nagy,889.30,USNTL
1650 Free,Luke Corey,889.56,USNTL
1650 Free,Manning Haskal,889.64,USNTL
1650 Free,Luke Whitlock,889.90,USNTL
1650 Free,Eli Shoyat,890.05,USNTL
1650 Free,Gabe MACHADO,890.37,NCAA B
1650 Free,Jovan Lekic,890.90,USNTL
1650 Free,Silas Beth,891.39,USNTL
1650 Free,Tyler Kopp,891.43,NCAA B
1650 Free,Michael Bonson,892.02,NCAA B
1650 Free,Josh Staples,893.20,USNTL
1650 Free,Trey Dickey,893.63,USNTL
1650 Free,Joshua Brown,893.71,USNTL
1650 Free,Panos VLACHOGIANNAKOS,894.34,NCAA B
1650 Free,jacob pins,894.41,NCAA B
1650 Free,Oskar Lindholm,894.76,USNTL
1650 Free,Laci Galicz,894.77,NCAA B
1650 Free,Reece Grady,895.22,NCAA B
