Event,SwimmerName,Time,Cut
200 Free,Luis Dominguez,92.37,USNTL
200 Free,Sebastien Sergile,92.38,USNTL
200 Free,Andrei Minakov,92.38,NCAA B
200 Free,Jonny Kulow,92.41,NCAA B
200 Free,Brady Samuels,92.52,NCAA B
200 Free,Eitan BEN SHITRIT,92.63,USNTL
200 Free,Jovan Lekic,92.65,USNTL
200 Free,Oliver Sogaard-Andersen,92.66,NCAA B
200 Free,Trent Frandson,92.70,NCAA B
200 Free,Daniel Diehl,92.75,USNTL
200 Free,Jacob Wimberly,92.86,USNTL
200 Free,Jere Hribar,92.91,USNTL
200 Free,Dylan Felt,92.96,NCAA B
200 Free,Keaton Jones,92.97,NCAA B
200 Free,Andres Dupont,92.98,NCAA B
500 Free,Rex Maurer,244.45,NCAA A
500 Free,Noah Millard,247.68,NCAA A
500 Free,Tomas Koski,248.25,NCAA A
500 Free,Jake Magahey,248.61,NCAA A
500 Free,Lucas Henveaux,248.83,NCAA A
500 Free,David Johnston,249.41,NCAA A
500 Free,Charlie Hawke,249.75,NCAA A
500 Free,Gabriel Jett,250.27,NCAA A
500 Free,Coby Carrozza,250.70,USNTL
500 Free,Jake Mitchell,250.72,USNTL
500 Free,Carson Hick,250.89,USNTL
500 Free,Mason Mathias,251.03,NCAA B
500 Free,Gio Linscheer,251.03,USNTL
500 Free,Zalán Sarkany,251.62,USNTL
500 Free,Luke Hobson,251.68,USNTL
500 Free,Jovan Lekic,252.26,USNTL
500 Free,Henry McFadden,252.33,NCAA B
500 Free,Tyler Kopp,252.46,NCAA B
500 Free,Manning Haskal,252.69,USNTL
500 Free,Eduardo Oliveira Moraes,252.72,USNTL
500 Free,Bar Soloveychik,252.83,USNTL
500 Free,Jackson Huckabay,253.06,USNTL
500 Free,Josh Staples,253.28,USNTL
500 Free,Yoav Romano,253.37,NCAA B
500 Free,David King,253.43,USNTL
500 Free,Oskar Lindholm,253.47,USNTL
500 Free,Eric Brown,253.66,USNTL
500 Free,Alexander Axon,253.77,USNTL
500 Free,Cooper Lucas,253.77,USNTL
500 Free,Owen Lloyd,254.13,USNTL
500 Free,Chase Mueller,254.16,USNTL
500 Free,Michael Bonson,254.18,NCAA B
500 Free,Lance Norris,254.22,USNTL
500 Free,Daniel Matheson,254.37,NCAA B
500 Free,Kyle Ponsler,254.42,USNTL
500 Free,Oliver Sogaard-Andersen,254.74,NCAA B
500 Free,Luca Urlando,254.97,NCAA B
500 Free,Leonardo Alcantara,255.19,NCAA B
500 Free,Lorne Wigginton,255.25,USNTL
500 Free,Patrick Hussey,255.35,USNTL
500 Free,Levi Sandidge,255.39,USNTL
500 Free,Jack Henry Forrest,255.46,NCAA B
500 Free,Sam Powe,255.47,NCAA B
500 Free,Jones Lambert,255.47,NCAA B
500 Free,Gregg Enoch,255.53,USNTL
500 Free,Jordi Vilchez,255.68,USNTL
500 Free,Murilo STEIN SARTORI,255.70,USNTL
500 Free,Jack Hoagland,255.74,NCAA B
500 Free,Mitchell Schott,255.76,NCAA B
500 Free,Alex Metzler,255.78,USNTL
100 Back,Jonny Marshall,43.73,NCAA A
100 Back,Will Modglin,43.91,NCAA A
100 Back,Hubert KOS,44.03,NCAA A
100 Back,Owen McDonald,44.38,NCAA A
100 Back,Michel Arkhangelskiy,44.49,NCAA B
100 Back,Johnny Crush,44.53,NCAA B
100 Back,Gabriel Jett,44.54,NCAA B
100 Back,Harrison Lierz,44.76,USNTL
100 Back,Max Wilson,44.82,NCAA B
100 Back,Evan Petty,44.97,NCAA B
100 Back,Quintin McCarty,44.99,USNTL
100 Back,Jack Wadsworth,45.01,NCAA B
100 Back,Kyle Peck,45.02,USNTL
100 Back,Luke Barr,45.02,USNTL
100 Back,Miroslav Knedla,45.02,USNTL
100 Back,Ruard Van Renen,45.03,NCAA B
100 Back,Nate Stoffle,45.04,NCAA B
100 Back,Aaron Sequeira,45.06,NCAA B
100 Back,Youssef Ramadan,45.07,USNTL
100 Back,Stuart Seymour,45.07,USNTL
100 Back,David King,45.11,USNTL
100 Back,Grant Bochenski,45.12,NCAA B
100 Back,Hudson Williams,45.15,USNTL
100 Back,Mewen Tomac,45.16,NCAA B
100 Back,Destin Lasco,45.23,NCAA B
100 Back,Scotty Buff,45.23,USNTL
100 Back,Walker Davis,45.24,USNTL
100 Back,David Gerchik,45.25,USNTL
100 Back,Mason Herbet,45.26,NCAA B
100 Back,Pietro Ubertalli,45.29,NCAA B
100 Back,Gavin Wight,45.30,USNTL
